iteration,val_rmse
0,80.62642212138923
1,83.71212238013806
2,85.84868910676875
3,89.85879101048066
4,80.20521415586919
5,78.24233638483234
6,81.45298665247152
7,81.26132595487407
8,79.69409483494952
9,84.74479355108248
10,83.98550801132086
11,79.29034469211516
12,83.96554214021569
13,78.31159189486851
14,79.37325435539526
15,81.88126204268964
16,77.98548006072745
17,77.43001474104898
18,87.52344598487848
19,80.19522303063808
20,81.2168661271736
21,77.69486159828743
22,81.41203180540775
23,78.15448966261239
24,80.4140597939249
